headline,language,label,headline_en,num_evidence,max_rel,mean_rel,p90_rel,max_ent,max_con_used,mean_ent,mean_con,context_mismatch_rate,update_style_rate
"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters",en,1,"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica",en,1,"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAC tensions: China's strategy behind deliberately failing talks with India,en,1,LAC tensions: China's strategy behind deliberately failing talks with India,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India has signed 250 documents on Space cooperation with 59 countries: ISRO chief,en,1,India has signed 250 documents on Space cooperation with 59 countries: ISRO chief,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu chief minister's mother passes away at 93,en,1,Tamil Nadu chief minister's mother passes away at 93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur ,en,1,Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hathras case: CBI reaches victim's village, visits crime scene",en,1,"Hathras case: CBI reaches victim's village, visits crime scene",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody",en,1,"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mumbai: BMC to book, penalise people stepping out without face masks",en,1,"Mumbai: BMC to book, penalise people stepping out without face masks",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh",en,1,"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'",en,1,"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates,en,1,Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Modi releases Balasaheb Vikhe Patil's autobiography,en,1,PM Modi releases Balasaheb Vikhe Patil's autobiography,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale",en,1,"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai power outage: Fire reported in hospital,en,1,Mumbai power outage: Fire reported in hospital,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095 ",en,1,"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian exports to Armenia increased three-fold in past three years,en,1,Indian exports to Armenia increased three-fold in past three years,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7 Indian hostages freed in Libya, all in good health: MEA",en,1,"7 Indian hostages freed in Libya, all in good health: MEA",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone",en,1,"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces,en,1,Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray",en,1,"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe",en,1,"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician,en,1,Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours,en,1,Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mumbai suffers major power outage, local train services affected",en,1,"Mumbai suffers major power outage, local train services affected",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
