headline,label,language,num_evidence,max_rel,mean_rel,p90_rel,max_ent,mean_ent,max_con_used,mean_con,context_mismatch_rate,update_style_rate
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,1,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yes,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,1,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,1,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,1,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,1,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,1,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0,English,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
